id,generic_name,scientific_name,english_name,sex,file_url,length,license,location,bird_type,also,smp,seen,regnr,file,source
927426,Petroica,macrocephala,Tomtit,uncertain,https://xeno-canto.org/927426/download,6,//creativecommons.org/licenses/by-nc-sa/4.0/,"Rangatira_South_East_Island,_Chatham_Islands",call,[],44100,no,,https://xeno-canto.org/927426/download,Xeno-Canto
927425,Petroica,macrocephala,Tomtit,uncertain,https://xeno-canto.org/927425/download,15,//creativecommons.org/licenses/by-nc-sa/4.0/,"Rangatira_South_East_Island,_Chatham_Islands",call,[],44100,no,,https://xeno-canto.org/927425/download,Xeno-Canto
927424,Petroica,macrocephala,Tomtit,uncertain,https://xeno-canto.org/927424/download,12,//creativecommons.org/licenses/by-nc-sa/4.0/,"Rangatira_South_East_Island,_Chatham_Islands",call,[],48000,no,,https://xeno-canto.org/927424/download,Xeno-Canto
927423,Petroica,macrocephala,Tomtit,uncertain,https://xeno-canto.org/927423/download,12,//creativecommons.org/licenses/by-nc-sa/4.0/,"Rangatira_South_East_Island,_Chatham_Islands",call,[],48000,no,,https://xeno-canto.org/927423/download,Xeno-Canto
795082,Petroica,macrocephala,Tomtit,uncertain,https://xeno-canto.org/795082/download,30,//creativecommons.org/licenses/by-nc-sa/4.0/,"Waimiha,_Ruapehu_District_Council,_Manawatu-Wanganui",call,[],48000,yes,,https://xeno-canto.org/795082/download,Xeno-Canto
795079,Petroica,macrocephala,Tomtit,uncertain,https://xeno-canto.org/795079/download,97,//creativecommons.org/licenses/by-nc-sa/4.0/,"Waimiha,_Ruapehu_District_Council,_Manawatu-Wanganui",call,[],48000,yes,,https://xeno-canto.org/795079/download,Xeno-Canto
378231,Petroica,macrocephala,Tomtit,,https://xeno-canto.org/378231/download,16,//creativecommons.org/licenses/by-nc-sa/4.0/,"Dillmanstown,_Westland_District,_West_Coast",call,['Prosthemadera novaeseelandiae'],44100,yes,,https://xeno-canto.org/378231/download,Xeno-Canto
959276,Petroica,longipes,Robin,uncertain,https://xeno-canto.org/959276/download,196,//creativecommons.org/licenses/by-nc-sa/4.0/,"Ngaherenga_DOC_campsite,_Pureora_Forest_Park,_Waikato_District.","call,_Territorial_defense",['Rhipidura fuliginosa'],44100,no,,https://xeno-canto.org/959276/download,Xeno-Canto
237583,Petroica,longipes,Robin,,https://xeno-canto.org/237583/download,103,//creativecommons.org/licenses/by-nc-sa/4.0/,"Te_Urewera_National_Park_(near__Maungapohatu),_Wairoa_District,_Hawke's_Bay",call,[],48000,yes,,https://xeno-canto.org/237583/download,Xeno-Canto
183186,Petroica,longipes,Robin,,https://xeno-canto.org/183186/download,24,//creativecommons.org/licenses/by-nc-sa/4.0/,Tiritiri_Matangi_Island_,call,[],44100,yes,,https://xeno-canto.org/183186/download,Xeno-Canto
796378,Petroica,australis,Robin,uncertain,https://xeno-canto.org/796378/download,105,//creativecommons.org/licenses/by-nc-sa/4.0/,"Otira,_Westland_District,_West_Coast",call,[],48000,yes,,https://xeno-canto.org/796378/download,Xeno-Canto
293067,Petroica,australis,Robin,,https://xeno-canto.org/293067/download,14,//creativecommons.org/licenses/by-nc-sa/4.0/,Ulva_Island,call,"['Cyanoramphus novaezelandiae', 'Mohoua ochrocephala', 'Prosthemadera novaeseelandiae']",44100,yes,,https://xeno-canto.org/293067/download,Xeno-Canto
925466,Petroica,australis,Robin,uncertain,https://xeno-canto.org/925466/download,35,//creativecommons.org/licenses/by-nc-sa/4.0/,"Oparara_Valley,_Karamea,_West_Coast",call,[],44100,yes,,https://xeno-canto.org/925466/download,Xeno-Canto
473398,Petroica,australis,Robin,,https://xeno-canto.org/473398/download,2,//creativecommons.org/licenses/by-nc-sa/4.0/,"Fiordland_National_Park,_Southland_District,_Southland",call,[],44100,yes,,https://xeno-canto.org/473398/download,Xeno-Canto
198515,Petroica,australis,Robin,,https://xeno-canto.org/198515/download,12,//creativecommons.org/licenses/by-nc-sa/4.0/,"Nelson_Lakes_National_Park,_Tasman_District,_Tasman",call,['Nestor meridionalis'],44100,yes,,https://xeno-canto.org/198515/download,Xeno-Canto
938198,Zosterops,lateralis,Silvereye,uncertain,https://xeno-canto.org/938198/download,105,//creativecommons.org/licenses/by-nc-sa/4.0/,"Taiko_Camp,_Chatham_Island_",call,[],44100,no,,https://xeno-canto.org/938198/download,Xeno-Canto
